Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,116.000000,116.400002,115.660004,115.849998,112.239647,2818900
2017-11-28,116.260002,116.830002,115.300003,116.769997,113.130974,3600400
2017-11-29,116.839996,117.379997,116.290001,116.839996,113.198792,3276300
2017-11-30,116.519997,117.209999,116.080002,116.519997,113.671936,5984000
2017-12-01,116.500000,116.849998,115.040001,116.779999,113.925583,4956600
2017-12-04,117.000000,118.199997,116.620003,117.459999,114.588959,4403000
2017-12-05,117.629997,117.940002,117.180000,117.589996,114.715782,3198600
2017-12-06,117.830002,118.910004,117.639999,118.900002,115.993767,3203500
2017-12-07,118.519997,118.639999,116.550003,116.730003,113.876808,5409500
2017-12-08,116.519997,116.599998,115.900002,116.570000,113.720718,3127500
2017-12-11,116.330002,117.440002,115.559998,117.389999,114.520668,2429400
2017-12-12,118.220001,118.370003,117.120003,117.400002,114.530434,2664600
2017-12-13,117.510002,118.209999,117.480003,117.800003,114.920662,3193900
2017-12-14,117.940002,118.599998,117.730003,118.019997,115.135269,4057800
2017-12-15,118.570000,119.360001,118.449997,119.220001,116.305954,7173500
2017-12-18,119.300003,119.739998,118.000000,118.050003,115.164551,3472700
2017-12-19,118.750000,119.389999,118.230003,118.610001,115.710861,3942500
2017-12-20,118.660004,119.120003,117.559998,119.019997,116.110832,4273400
2017-12-21,119.449997,119.570000,117.839996,118.260002,115.369415,2790000
2017-12-22,118.599998,118.750000,118.169998,118.599998,115.701096,2045600
2017-12-26,118.410004,119.239998,118.410004,118.889999,115.984009,2156300
2017-12-27,118.870003,119.400002,118.800003,119.300003,116.383995,2465100
2017-12-28,119.330002,119.529999,119.050003,119.349998,116.432770,1999300
2017-12-29,119.459999,120.570000,119.419998,119.919998,116.988831,3116400
2018-01-02,119.930000,120.180000,117.930000,118.059998,115.174294,4165800
2018-01-03,117.910004,118.470001,117.639999,117.750000,114.871872,4224000
2018-01-04,117.800003,119.110001,117.599998,118.330002,115.437698,3147000
2018-01-05,118.410004,119.089996,118.250000,118.669998,115.769386,2714200
2018-01-08,118.209999,118.739998,117.669998,117.989998,115.106003,5730400
2018-01-09,118.260002,118.980003,117.949997,118.080002,115.193810,4573600
2018-01-10,118.129997,118.360001,116.699997,117.480003,114.608482,3363900
2018-01-11,117.639999,117.849998,116.379997,116.879997,114.023140,3685200
2018-01-12,116.949997,118.010002,116.849998,117.379997,114.510918,4335500
2018-01-16,117.199997,118.349998,117.029999,117.860001,114.979187,4936500
2018-01-17,118.290001,120.169998,118.209999,119.180000,116.266922,4535200
2018-01-18,119.089996,119.620003,118.650002,119.050003,116.140099,6221800
2018-01-19,119.480003,120.680000,118.639999,120.169998,117.232719,6002600
2018-01-22,120.099998,121.849998,120.000000,121.510002,118.539978,4308600
2018-01-23,121.070000,122.510002,120.849998,121.300003,118.335114,3536900
2018-01-24,121.239998,121.480003,120.820000,121.139999,118.179016,3445200
2018-01-25,120.610001,121.449997,120.360001,120.900002,117.944885,2712900
2018-01-26,120.610001,121.839996,120.610001,121.760002,118.783859,3993900
2018-01-29,121.379997,122.160004,119.650002,119.669998,116.744949,3854700
2018-01-30,119.680000,121.199997,119.500000,119.889999,116.959564,4945200
2018-01-31,119.839996,120.750000,119.510002,120.300003,117.359550,4018100
2018-02-01,119.919998,121.010002,119.279999,120.300003,117.359550,3485600
2018-02-02,119.910004,120.279999,118.400002,118.669998,115.769386,3348900
2018-02-05,118.570000,119.660004,114.410004,114.459999,111.662292,5347600
2018-02-06,112.440002,113.949997,110.150002,113.559998,110.784286,6642600
2018-02-07,113.970001,115.769997,112.750000,113.500000,110.725761,4931400
2018-02-08,113.699997,113.720001,110.089996,110.150002,107.457642,4907900
2018-02-09,110.809998,111.989998,108.879997,111.180000,108.462471,5301700
2018-02-12,111.900002,112.750000,111.059998,111.930000,109.194130,4759200
2018-02-13,112.000000,112.669998,110.680000,112.139999,109.399002,5274700
